Lp., Izba administracji skarbowej Urząd skarbowy Urząd celno-skarbowy Delegatura urzędu celno-skarbowego Oddział celny, Kod identyfikacyjny
2), Delegatura UCS w Nowym Sączu,353000
a), Oddział Celny w Nowym Sączu,353010
b), Oddział Celny w Tarnowie,353030
VII, IZBA ADMINISTRACJI SKARBOWEJ W ŁODZI,1001
1, Urząd Skarbowy w Bełchatowie,1002
2, Urząd Skarbowy w Brzezinach,1003
3, Urząd Skarbowy w Głownie,1004
4, Urząd Skarbowy w Kutnie,1005
5, Urząd Skarbowy w Łasku,1006
6, Urząd Skarbowy w Łowiczu,1007
7, Pierwszy Urząd Skarbowy Łódź-Bałuty,1008
8, Drugi Urząd Skarbowy Łódź-Bałuty,1009
9, Pierwszy Urząd Skarbowy Łódź-Górna,1010
10, Drugi Urząd Skarbowy Łódź-Górna,1011
11, Urząd Skarbowy Łódź-Polesie,1012
12, Urząd Skarbowy Łódź-Śródmieście,1013
13, Urząd Skarbowy Łódź-Widzew,1014
14, Urząd Skarbowy w Opocznie,1015
15, Urząd Skarbowy w Pabianicach,1016
16, Urząd Skarbowy w Piotrkowie Trybunalskim,1017
17, Urząd Skarbowy w Poddębicach,1018
18, Urząd Skarbowy w Radomsku,1019
19, Urząd Skarbowy w Rawie Mazowieckiej,1020
20, Urząd Skarbowy w Sieradzu,1021
21, Urząd Skarbowy w Skierniewicach,1022
22, Urząd Skarbowy w Tomaszowie Mazowieckim,1023
23, Urząd Skarbowy w Wieluniu,1024
24, Urząd Skarbowy w Zduńskiej Woli,1025
25, Urząd Skarbowy w Zgierzu,1026
26, Urząd Skarbowy w Wieruszowie,1027
27, Urząd Skarbowy w Łęczycy,1028
28, Urząd Skarbowy w Pajęcznie,1029
29, Łódzki Urząd Skarbowy w Łodzi,1071
30, Łódzki Urząd Celno-Skarbowy w Łodzi,368000
1), Delegatura UCS I w Łodzi,361000
a), Oddział Celny I w Łodzi,361010
b), Oddział Celny w Sieradzu,361030
2), Delegatura UCS II w Łodzi,362000
a), Oddział Celny II w Łodzi,362010
b), Oddział Celny w Kutnie,362030
c), Oddział Celny Port Lotniczy Łódź-Lublinek,362040
3), Delegatura UCS w Piotrkowie Trybunalskim,363000
a), Oddział Celny w Piotrkowie Trybunalskim,363010
VIII, IZBA ADMINISTRACJI SKARBOWEJ W OLSZTYNIE,2801
1, Urząd Skarbowy w Bartoszycach,2802
2, Urząd Skarbowy w Braniewie,2803
3, Urząd Skarbowy w Działdowie,2804
4, Urząd Skarbowy w Elblągu,2805
5, Urząd Skarbowy w Ełku,2806
6, Urząd Skarbowy w Giżycku,2807
7, Urząd Skarbowy w Iławie,2808
8, Urząd Skarbowy w Kętrzynie,2809
9, Urząd Skarbowy w Nidzicy,2810
10, Urząd Skarbowy w Nowym Mieście Lubawskim,2811
11, Urząd Skarbowy w Olecku,2812
12, Urząd Skarbowy w Olsztynie,2813
13, Urząd Skarbowy w Ostródzie,2814
14, Urząd Skarbowy w Piszu,2815
15, Urząd Skarbowy w Szczytnie,2816
16, Warmińsko-Mazurski Urząd Skarbowy w Olsztynie,2871
17, Warmińsko-Mazurski Urząd Celno-Skarbowy w Olsztynie,378000
1), Delegatura UCS w Olsztynie,371000
a), Oddział Celny w Olsztynie,371010
b), Oddział Celny w Korszach,371020
c), Oddział Celny w Bezledach,371030
d), Oddział Celny w Bartoszycach,371040
e), Oddział Celny w Ełku,371050
f), Oddział Celny w Gołdapi,371060
2), Delegatura UCS w Elblągu,372000
a), Oddział Celny w Elblągu,372010
b), Oddział Celny w Braniewie,372020
c), Oddział Celny w Gronowie,372030
d), Oddział Celny w Iławie,372040
e), Oddział Celny w Grzechotkach,372050
IX, IZBA ADMINISTRACJI SKARBOWEJ W OPOLU,1601
1, Urząd Skarbowy w Brzegu,1602
2, Urząd Skarbowy w Głubczycach,1603
3, Urząd Skarbowy w Kędzierzynie-Koźlu,1604
4, Urząd Skarbowy w Kluczborku,1605
5, Urząd Skarbowy w Namysłowie,1606
6, Urząd Skarbowy w Nysie,1607
7, Urząd Skarbowy w Oleśnie,1608
8, Pierwszy Urząd Skarbowy w Opolu,1609
9, Drugi Urząd Skarbowy w Opolu,1610
10, Urząd Skarbowy w Prudniku,1611
11, Urząd Skarbowy w Strzelcach Opolskich,1612
12, Urząd Skarbowy w Krapkowicach,1613
13, Opolski Urząd Skarbowy w Opolu,1671
14, Opolski Urząd Celno-Skarbowy w Opolu,388000
1), Delegatura UCS w Opolu,381000
a), Oddział Celny w Opolu,381010
b), Oddział Celny w Kędzierzynie-Koźlu,381030
c), Oddział Celny w Nysie,381040
X, IZBA ADMINISTRACJI SKARBOWEJ W POZNANIU,3001
1, Urząd Skarbowy w Czarnkowie,3002
2, Urząd Skarbowy w Gnieźnie,3003
3, Urząd Skarbowy w Gostyniu,3004
4, Urząd Skarbowy w Grodzisku Wielkopolskim,3005
5, Urząd Skarbowy w Jarocinie,3006
6, Pierwszy Urząd Skarbowy w Kaliszu,3007
7, Drugi Urząd Skarbowy w Kaliszu,3008
8, Urząd Skarbowy w Kępnie,3009
9, Urząd Skarbowy w Kole,3010
10, Urząd Skarbowy w Koninie,3011
11, Urząd Skarbowy w Kościanie,3012
12, Urząd Skarbowy w Krotoszynie,3013
13, Urząd Skarbowy w Lesznie,3014
14, Urząd Skarbowy w Międzychodzie,3015
15, Urząd Skarbowy w Nowym Tomyślu,3016
16, Urząd Skarbowy w Ostrowie Wielkopolskim,3017
17, Urząd Skarbowy w Ostrzeszowie,3018
18, Urząd Skarbowy w Pile,3019
19, Urząd Skarbowy Poznań-Grunwald,3020
20, Urząd Skarbowy Poznań-Jeżyce,3021
21, Urząd Skarbowy Poznań-Nowe Miasto,3022
22, Pierwszy Urząd Skarbowy w Poznaniu,3023
23, Urząd Skarbowy Poznań-Winogrady,3025
24, Urząd Skarbowy Poznań-Wilda,3026
25, Urząd Skarbowy w Rawiczu,3027
26, Urząd Skarbowy w Słupcy,3028
27, Urząd Skarbowy w Szamotułach,3029
28, Urząd Skarbowy w Śremie,3030
29, Urząd Skarbowy w Środzie Wielkopolskiej,3031
30, Urząd Skarbowy w Turku,3032
31, Urząd Skarbowy w Wągrowcu,3033
32, Urząd Skarbowy w Wolsztynie,3034
33, Urząd Skarbowy we Wrześni,3035
34, Urząd Skarbowy w Złotowie,3036
35, Urząd Skarbowy w Chodzieży,3037
36, Urząd Skarbowy w Obornikach,3038
37, Urząd Skarbowy w Pleszewie,3039
38, Pierwszy Wielkopolski Urząd Skarbowy w Poznaniu,3071
39, Drugi Wielkopolski Urząd Skarbowy w Kaliszu,3072
40, Wielkopolski Urząd Celno-Skarbowy w Poznaniu,398000
1), Delegatura UCS w Poznaniu,391000
a), Oddział Celny w Poznaniu,391010
b)," Oddział Celny ""MTP"" w Poznaniu",391020
c), Oddział Celny Port Lotniczy Poznań-Ławica,391030
d), Oddział Celny w Gądkach,391040
2), Delegatura UCS w Pile,392000
a), Oddział Celny w Pile,392010
3), Delegatura UCS w Lesznie,393000
a), Oddział Celny w Lesznie,393010
b), Oddział Celny w Nowym Tomyślu,393020
4), Delegatura UCS w Kaliszu,394000
a), Oddział Celny w Kaliszu,394010
b), Oddział Celny w Koninie,394020
XI, IZBA ADMINISTRACJI SKARBOWEJ W RZESZOWIE,1801
1, Urząd Skarbowy w Brzozowie,1802
2, Urząd Skarbowy w Dębicy,1803
3, Urząd Skarbowy w Jarosławiu,1804
4, Urząd Skarbowy w Jaśle,1805
5, Urząd Skarbowy w Kolbuszowej,1806
6, Urząd Skarbowy w Krośnie,1807
7, Urząd Skarbowy w Lesku,1808
8, Urząd Skarbowy w Leżajsku,1809
9, Urząd Skarbowy w Lubaczowie,1810
10, Urząd Skarbowy w Łańcucie,1811
11, Urząd Skarbowy w Mielcu,1812
12, Urząd Skarbowy w Przemyślu,1813
13, Urząd Skarbowy w Przeworsku,1814
14, Urząd Skarbowy w Ropczycach,1815
15, Pierwszy Urząd Skarbowy w Rzeszowie,1816
16, Urząd Skarbowy w Sanoku,1817
17, Urząd Skarbowy w Stalowej Woli,1818
18, Urząd Skarbowy w Strzyżowie,1819
19, Urząd Skarbowy w Tarnobrzegu,1820
20, Urząd Skarbowy w Ustrzykach Dolnych,1821
21, Drugi Urząd Skarbowy w Rzeszowie,1822
22, Urząd Skarbowy w Nisku,1823
23, Podkarpacki Urząd Skarbowy w Rzeszowie,1871
24, Podkarpacki Urząd Celno-Skarbowy w Przemyślu,408000
1), Delegatura UCS w Przemyślu,401000
a), Oddział Celny w Przemyślu,401010
b), Oddział Celny w Medyce,401030
c), Oddział Celny Kolejowy Przemyśl-Medyka,401040
d), Oddział Celny w Jarosławiu,401050
e), Oddział Celny w Korczowej,401060
f), Oddział Celny w Budomierzu,401080
2), Delegatura UCS w Rzeszowie,402000
a), Oddział Celny w Rzeszowie,402010
b), Oddział Celny Port Lotniczy Rzeszów-Jasionka,402020
c), Oddział Celny w Dębicy,402040
d), Oddział Celny w Stalowej Woli,402050
e), Oddział Celny w Mielcu,402060
3), Delegatura UCS w Krośnie,404000
a), Oddział Celny w Krośnie,404010
b), Oddział Celny w Krościenku,404030
XII, IZBA ADMINISTRACJI SKARBOWEJ W ZIELONEJ GÓRZE,0801
1, Urząd Skarbowy w Gorzowie Wielkopolskim,0802
2, Urząd Skarbowy w Krośnie Odrzańskim,0803
3, Urząd Skarbowy w Międzyrzeczu,0804
4, Urząd Skarbowy w Nowej Soli,0805
5, Urząd Skarbowy w Słubicach,0806
6, Urząd Skarbowy w Świebodzinie,0807
7, Pierwszy Urząd Skarbowy w Zielonej Górze,0808
8, Drugi Urząd Skarbowy w Zielonej Górze,0809
9, Urząd Skarbowy w Żaganiu,0810
10, Urząd Skarbowy w Żarach,0811
11, Urząd Skarbowy w Drezdenku,0812
